tier,Scenario,TECHNOLOGY,country,fuel,YEAR,forced_GW,CF,floor_PJ,cf_basis,value_type,scenario_source,commissioning_year,note,floor_applied
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2025,0.12844,0.2581,1.0454,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2025,"aggregated from 1 vintage(s) as of 2025 (commissioning years: [2025]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2026,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2026 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2027,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2027 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2028,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2028 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2029,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2029 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2030,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2030 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2031,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2031 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2032,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2032 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2033,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2033 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2034,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2034 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2035,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2035 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2036,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2036 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2037,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2037 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2038,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2038 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2039,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2039 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2040,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2040 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2041,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2041 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2042,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2042 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
FILTERED,BAU,PWRBIOBRAXX,BRA,BIO,2043,0.20844,0.2585,1.6994,derived,aggregated,PDE 2034 reference case (opendata Expansão incremental table),2026,"aggregated from 2 vintage(s) as of 2043 (commissioning years: [2025, 2026]); see candidate_floors_vintage_detail.csv for per-project detail (country=BRA, fuel=BIO); tier_signal basis: note contains 'contratado' (PDE2034 auction-awarded category)",yes
